Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID101,101,0,-1,4.00330,4.96901,6.50000,0.00000,0,0.36460,1,-10921639,733.92405,709,548,1104,57980,125.01977,1.00760,-0.01483,-0.17678
ID98,98,0,-1,3.98574,4.96901,6.50000,63.28448,1,0.36460,1,-10921639,784.64557,750,560,1267,61987,138.49373,0.29168,-0.01405,-0.16145
ID95,95,0,-1,4.00330,5.00413,6.50000,126.56895,2,0.36460,1,-10921639,776.13924,750,565,1066,61315,110.71154,1.29258,-0.00404,-0.05681
ID92,92,0,-1,3.98574,4.93389,6.50000,189.85343,3,0.36460,1,-10921639,821.56962,805,608,1275,64904,140.11705,1.25036,0.00926,0.10755
ID89,89,0,-1,3.98574,4.95145,6.50000,253.13791,4,0.36460,1,-10921639,909.73418,891,605,1385,71869,180.45503,1.07890,0.00798,0.07986
ID86,86,0,-1,4.09109,4.88122,6.50000,316.42239,5,0.36460,1,-10921639,948.22785,920,667,1357,74910,176.74014,1.26606,0.00848,0.09019
ID83,83,0,-1,4.12621,4.82854,6.50000,379.70686,6,0.36460,1,-10921639,1069.56962,996,780,1694,84496,223.88296,1.09616,0.03762,0.34645
ID80,80,0,-1,4.09109,4.77587,6.50000,442.99134,7,0.36460,1,-10921639,1167.69620,1103,720,1787,92248,274.63987,1.08763,0.04592,0.37332
ID77,77,0,-1,4.14377,4.70563,6.50000,506.27582,8,0.36460,1,-10921639,1281.86076,1269,658,2051,101267,372.85447,1.09221,0.06915,0.44475
ID74,74,0,-1,4.12621,4.70563,6.50000,569.56030,9,0.36460,1,-10921639,1345.29114,1411,708,2182,106278,349.64737,1.09579,0.11081,0.76767
ID71,71,0,-1,4.09109,4.61784,6.50000,632.84477,10,0.36460,1,-10921639,1518.58228,1517,874,2100,119968,260.95154,1.10009,0.11967,1.24398
ID35,35,0,-1,4.03842,4.40714,6.50000,696.12925,11,0.36460,1,-10921639,1517.07595,1509,810,2173,119849,313.92130,1.25158,0.08852,0.78599
ID32,32,0,-1,4.17888,4.21400,6.50000,759.41373,12,0.36460,1,-10921639,1487.29114,1462,786,2284,117496,357.85354,1.38548,0.06908,0.53712
ID29,29,0,-1,4.05598,4.10865,6.50000,822.69820,13,0.36460,1,-10921639,1303.41772,1283,751,2162,102970,332.39765,1.10004,0.07079,0.51845
ID1,1,0,-1,4.10865,3.96818,6.50000,885.98268,14,0.36460,1,-10921639,1292.84810,1194,721,2189,102135,379.91784,1.08612,0.07811,0.49309
